x, y, solution
0.539683,0.15873,-0.207454
0.555556,0.15873,-0.287544
0.571429,0.15873,-0.364776
0.587302,0.15873,-0.438382
0.603175,0.15873,-0.507632
0.619048,0.15873,-0.571837
0.634921,0.15873,-0.630358
0.650794,0.15873,-0.682615
0.666667,0.15873,-0.728087
0.68254,0.15873,-0.766323
0.698413,0.15873,-0.796944
0.714286,0.15873,-0.819644
0.730159,0.15873,-0.834198
0.746032,0.15873,-0.840461
0.761905,0.15873,-0.838372
0.777778,0.15873,-0.82795
0.793651,0.15873,-0.8093
0.809524,0.15873,-0.782606
0.825397,0.15873,-0.748135
0.84127,0.15873,-0.706229
0.857143,0.15873,-0.657303
0.873016,0.15873,-0.601845
0.888889,0.15873,-0.540406
0.904762,0.15873,-0.473596
0.920635,0.15873,-0.402079
0.936508,0.15873,-0.326566
0.952381,0.15873,-0.247807
0.968254,0.15873,-0.166586
0.984127,0.15873,-0.0837089
1,0.15873,0
0,0.174603,0
0.015873,0.174603,0.0886761
0.031746,0.174603,0.176471
0.047619,0.174603,0.262512
0.0634921,0.174603,0.345944
0.0793651,0.174603,0.425938
0.0952381,0.174603,0.501698
0.111111,0.174603,0.572473
0.126984,0.174603,0.637558
0.142857,0.174603,0.696307
0.15873,0.174603,0.748135
0.174603,0.174603,0.792528
0.190476,0.174603,0.829045
0.206349,0.174603,0.857322
0.222222,0.174603,0.877079
0.238095,0.174603,0.888119
0.253968,0.174603,0.890333
0.269841,0.174603,0.883698
0.285714,0.174603,0.86828
0.301587,0.174603,0.844233
0.31746,0.174603,0.811796
0.333333,0.174603,0.771291
0.349206,0.174603,0.72312
0.365079,0.174603,0.667762
0.380952,0.174603,0.605768
0.396825,0.174603,0.537754
0.412698,0.174603,0.464395
0.428571,0.174603,0.386421
0.444444,0.174603,0.304606
0.460317,0.174603,0.219765
0.47619,0.174603,0.132738
0.492063,0.174603,0.0443932
0.507937,0.174603,-0.0443932
0.52381,0.174603,-0.132738
0.539683,0.174603,-0.219765
0.555556,0.174603,-0.304606
0.571429,0.174603,-0.386421
0.587302,0.174603,-0.464395
0.603175,0.174603,-0.537754
0.619048,0.174603,-0.605768
0.634921,0.174603,-0.667762
0.650794,0.174603,-0.72312
0.666667,0.174603,-0.771291
0.68254,0.174603,-0.811796
0.698413,0.174603,-0.844233
0.714286,0.174603,-0.86828
0.730159,0.174603,-0.883698
0.746032,0.174603,-0.890333
0.761905,0.174603,-0.888119
0.777778,0.174603,-0.877079
0.793651,0.174603,-0.857322
0.809524,0.174603,-0.829045
0.825397,0.174603,-0.792528
0.84127,0.174603,-0.748135
0.857143,0.174603,-0.696307
0.873016,0.174603,-0.637558
0.888889,0.174603,-0.572473
